game_id,period,minutes_remaining,seconds_remaining,shot_clock,player_id,player_name,position,team,opponent,home,score_margin,loc_x,loc_y,shot_distance,shot_zone,is_three,dribbles,touch_time,catch_and_shoot,defender_distance,true_prob,shot_made
22600090,5,11,0,19.1,57,Amen Thompson,SF,BOS,MIL,1,-20,-9.1,25.2,26.8,Above The Break 3,1,0,2.7,0,3.7,0.3452,0
22600358,2,3,26,16.6,1,James Harden,PG,TOR,CHA,0,1,-7.9,12.3,14.6,Mid-Range,0,2,2.3,0,5.2,0.3856,0
22600047,1,0,0,17.1,52,Dejounte Murray,PG,PHX,DET,1,-19,0.4,0.4,0.6,Restricted Area,0,0,0.1,1,6.0,0.5844,1
22600208,4,10,41,22.0,51,Aaron Christie,PF,DET,NYK,1,-8,3.0,1.2,3.2,Restricted Area,0,0,2.1,1,7.2,0.6986,0
22600188,3,2,30,7.8,4,Nikola Jokic,SF,WAS,HOU,0,9,2.8,0.6,2.8,Restricted Area,0,0,10.7,0,0.2,0.5736,1
22600127,3,5,8,21.9,59,Scoot Henderson,PF,DEN,CHI,0,-1,5.3,13.2,14.3,Mid-Range,0,2,2.5,0,6.7,0.4352,0
22600009,2,1,47,13.8,8,Devin Booker,PF,IND,CHI,1,-4,-0.6,1.0,1.1,Restricted Area,0,2,3.6,0,1.7,0.6363,1
22600309,3,7,39,17.7,14,Damian Lillard,PF,CHA,PHI,1,0,10.4,16.4,19.4,Long Mid-Range,0,3,5.0,0,4.7,0.3473,0
22600135,3,6,2,18.0,45,OG Anunoby,PG,PHX,TOR,0,-3,20.9,15.2,25.8,Above The Break 3,1,1,1.1,1,5.2,0.4998,0
22600265,1,2,36,5.0,1,James Harden,PG,TOR,IND,1,0,-10.2,27.3,29.1,Above The Break 3,1,4,7.2,0,0.8,0.2476,1
22600165,5,6,57,8.7,46,Pascal Siakam,C,PHX,LAL,1,14,0.5,0.4,0.7,Restricted Area,0,1,2.0,1,3.2,0.6585,1
22600150,1,7,13,17.8,29,Scottie Barnes,SF,PHX,SAC,1,2,0.7,0.3,0.7,Restricted Area,0,2,1.7,0,0.5,0.5788,0
22600355,2,9,55,17.3,48,Derrick White,C,NYK,IND,1,0,0.2,1.5,1.5,Restricted Area,0,5,4.3,0,2.2,0.6168,0
22600038,4,8,26,15.1,11,Ja Morant,SF,PHX,NOP,1,-14,-4.6,1.2,4.8,In The Paint (Non-RA),0,1,2.6,0,2.2,0.4487,0
22600295,4,9,27,18.3,60,Brandin Duren,PF,CHA,NYK,1,2,27.2,7.7,28.3,Above The Break 3,1,3,3.0,0,1.5,0.318,0
22600299,2,10,59,15.4,21,Bam Adebayo,SF,UTA,SAS,0,7,0.1,0.1,0.2,Restricted Area,0,3,7.7,0,2.8,0.6542,1
22600152,4,0,0,6.3,58,Ausar Barlow,PG,CHI,DET,1,-4,1.5,2.2,2.7,Restricted Area,0,1,1.0,1,7.4,0.6327,1
22600105,3,3,14,0.0,41,Draymond Green,PG,POR,DEN,0,-1,1.4,0.7,1.6,Restricted Area,0,2,3.6,0,3.5,0.5415,1
22600003,2,6,8,17.7,41,Draymond Green,PG,POR,CHA,0,16,-22.0,8.3,23.5,Right Corner 3,1,3,3.4,0,8.3,0.3786,1
22600375,2,0,53,13.9,34,Anfernee Simons,SF,IND,WAS,1,-16,-5.5,11.8,13.1,Mid-Range,0,1,3.5,0,0.4,0.3612,0
22600380,1,3,19,16.1,45,OG Anunoby,PG,PHX,LAC,1,6,-10.6,16.9,19.9,Long Mid-Range,0,2,1.7,0,3.8,0.3843,0
22600097,3,9,19,11.2,16,Jimmy Butler,PF,MEM,DEN,0,-23,-22.1,18.3,28.7,Above The Break 3,1,3,20.3,0,2.5,0.293,0
22600013,2,9,3,8.1,31,Cade Cunningham,SF,LAL,ATL,0,7,-3.7,2.0,4.2,In The Paint (Non-RA),0,1,2.0,1,5.6,0.4408,1
22600050,4,6,28,13.4,7,Kevin Durant,PG,TOR,LAL,1,14,-2.0,10.5,10.7,Mid-Range,0,1,6.4,0,2.2,0.4072,0
22600028,1,3,8,15.7,3,Jayson Tatum,PF,HOU,CHA,0,-22,-11.3,7.7,13.7,Mid-Range,0,0,0.2,1,6.0,0.4398,0
22600333,3,7,27,11.8,14,Damian Lillard,PF,CHA,MIL,0,11,20.0,13.2,23.9,Above The Break 3,1,3,3.7,0,8.1,0.2698,0
22600357,2,9,4,16.0,48,Derrick White,C,NYK,ORL,1,17,-4.1,16.8,17.3,Long Mid-Range,0,1,1.2,1,1.4,0.4318,0
22600062,1,7,47,6.2,9,Anthony Edwards,SG,BKN,CHA,1,8,0.3,0.5,0.6,Restricted Area,0,0,0.1,1,8.2,0.6478,0
22600299,1,5,35,17.1,53,Alperen Sengun,SG,MIL,SAS,1,0,-7.7,10.5,13.0,Mid-Range,0,2,3.9,0,6.5,0.4229,0
22600072,5,1,25,15.3,32,Evan Mobley,SG,POR,IND,0,-6,-22.7,5.5,23.4,Left Corner 3,1,0,2.9,0,4.8,0.4241,1
22600147,1,8,55,15.9,10,Shai Gilgeous-Alexander,PG,MEM,NYK,1,0,-3.0,2.4,3.8,Restricted Area,0,1,5.3,0,4.3,0.6252,0
22600240,4,8,51,8.6,44,Fred VanVleet,SG,ATL,BOS,0,19,-24.4,12.3,27.4,Above The Break 3,1,0,1.7,1,8.2,0.4952,0
22600288,3,10,23,19.8,56,Paolo Banchero,PG,MIN,BOS,0,0,1.6,5.0,5.3,In The Paint (Non-RA),0,2,1.6,0,4.8,0.3842,0
22600350,4,7,52,9.8,21,Bam Adebayo,SF,UTA,DEN,0,2,-29.2,14.1,32.4,Deep 3 / Heave,1,1,1.8,1,2.9,0.2736,0
22600018,2,7,18,13.8,15,Joel Embiid,PF,OKC,PHI,1,-4,-5.7,6.8,8.9,Mid-Range,0,4,2.8,0,6.9,0.3356,0
22600079,1,1,51,9.9,38,Kristaps Porzingis,C,OKC,PHX,0,15,-10.8,13.1,17.0,Long Mid-Range,0,2,3.1,0,4.4,0.3251,1
22600113,1,10,39,17.3,14,Damian Lillard,PF,CHA,GSW,0,5,0.9,0.6,1.1,Restricted Area,0,2,7.8,0,2.1,0.5978,1
22600125,3,3,29,13.0,10,Shai Gilgeous-Alexander,PG,MEM,LAL,0,16,20.5,21.0,29.3,Above The Break 3,1,2,1.3,0,5.2,0.297,0
22600400,4,2,0,16.9,58,Ausar Barlow,PG,CHI,SAC,0,3,-0.1,0.1,0.1,Restricted Area,0,2,1.2,0,0.2,0.5211,1
22600311,2,0,47,24.0,10,Shai Gilgeous-Alexander,PG,MEM,NYK,0,0,-24.7,8.0,26.0,Above The Break 3,1,2,5.1,0,2.0,0.2336,0
22600129,3,0,29,17.7,53,Alperen Sengun,SG,MIL,MIN,0,4,-7.5,5.1,9.0,Mid-Range,0,2,2.4,0,1.1,0.3772,1
22600389,4,5,16,12.2,11,Ja Morant,SF,PHX,ORL,1,3,23.1,4.8,23.6,Left Corner 3,1,3,5.2,0,4.0,0.3668,0
22600200,2,5,26,14.0,55,Victor Wembanyama,SF,MIA,OKC,1,3,-5.6,11.9,13.2,Mid-Range,0,0,2.0,1,3.4,0.4132,1
