feature,gain
action_dunk,2850.0849609375
action_jump,1163.179931640625
loc_dist_ft,772.090087890625
shot_distance,606.1209716796875
is_cutting,286.3211669921875
is_running,184.91806030273438
action_putback,172.5759735107422
is_driving,163.12350463867188
action_layup,162.3062744140625
last_24s,161.99044799804688
area_Back Court(BC),85.63702392578125
last_3s,79.79600524902344
is_alley_oop,75.02518463134766
action_pullup,70.9168472290039
corner_three,67.86329650878906
seconds_left,62.70149230957031
zone_Above the Break 3,44.93745803833008
action_hook,42.226806640625
area_Center(C),42.12533950805664
league_zone_fg,37.329315185546875
opp_def_fg,37.003746032714844
action_floater,27.34294891357422
zone_Mid-Range,20.60860252380371
zone_Left Corner 3,20.236595153808594
period,20.20429039001465
abs_angle,19.586048126220703
action_turnaround,18.70410919189453
home,12.937810897827148
action_fadeaway,12.091575622558594
is_ot,12.029455184936523
zone_In The Paint (Non-RA),11.734762191772461
zone_Backcourt,10.738435745239258
opp_def_delta,10.399625778198242
action_stepback,10.175272941589355
angle,9.754178047180176
opp_def_attempts,7.726381778717041
area_Right Side Center(RC),5.210416793823242
area_Left Side(L),4.714977264404297
