chunk,season,n,chunk_min_date,chunk_max_date,train_max_date,xfg_log_loss,xfg_brier,xfg_auc,xfg_frozen_log_loss,xfg_frozen_brier,xfg_frozen_auc,xfg_zone_log_loss,xfg_zone_brier,xfg_zone_auc
0,2022-23,7725,20221018,20221023,20220410,0.6404743194580078,0.2258910983800888,0.6488304146037851,0.6404743194580078,0.2258910983800888,0.6488304146037851,0.6626549166092646,0.2350970033392362,0.6203392727952746
1,2022-23,9251,20221024,20221030,20221023,0.6343911290168762,0.22310346364974976,0.6627730159483065,0.6344143748283386,0.22311492264270782,0.662673500469869,0.6573204206852431,0.23248106175534325,0.6326313789820868
2,2022-23,8409,20221031,20221106,20221030,0.6335470676422119,0.22294004261493683,0.6626065325319856,0.6336186528205872,0.22297263145446777,0.6625688883268163,0.6537081120363837,0.23070051725372054,0.6385576002967864
3,2022-23,9617,20221107,20221113,20221106,0.634739339351654,0.2232787162065506,0.6632607541826101,0.6347777843475342,0.2232932448387146,0.6635500682870688,0.658115875052936,0.23281928499794044,0.6343510428370619
4,2022-23,8578,20221114,20221120,20221113,0.6339471936225891,0.22299300134181976,0.6609817544815757,0.6340857744216919,0.2230694442987442,0.6605980186787086,0.6556495974480226,0.23144964887602407,0.6390136439639176
5,2022-23,8914,20221121,20221127,20221120,0.6342656016349792,0.22322221100330353,0.6690169482152082,0.6345213055610657,0.22334353625774384,0.668461120547166,0.6559674337932199,0.2318072834666833,0.6452225992551389
6,2022-23,9360,20221128,20221204,20221127,0.6348778605461121,0.22303035855293274,0.6684623086968584,0.635155200958252,0.2231605499982834,0.667542393771718,0.6555771828718182,0.23159491649631428,0.6441790847022636
7,2022-23,8802,20221205,20221211,20221204,0.6390421986579895,0.2253503054380417,0.6563575731079652,0.6394265294075012,0.22551807761192322,0.6552083747040789,0.6595070255641442,0.233532145441391,0.6372044821300903
8,2022-23,8821,20221212,20221218,20221211,0.6333203911781311,0.22272582352161407,0.6644337698681723,0.6337339282035828,0.2229226529598236,0.663669047477939,0.6562449814950895,0.23195933714533654,0.6360431220208455
9,2022-23,8019,20221219,20221225,20221218,0.6377176642417908,0.22486308217048645,0.6591510916040425,0.6379570364952087,0.22496862709522247,0.658283333665557,0.6627980982671376,0.2351134723974333,0.6302494356349791
10,2022-23,9230,20221226,20230101,20221225,0.6375913619995117,0.22475813329219818,0.6607597463350453,0.6381786465644836,0.22503544390201569,0.6592870796164428,0.6588356033097409,0.2332146794583853,0.6412278891825643
11,2022-23,9730,20230102,20230108,20230101,0.6383174657821655,0.22505174577236176,0.6544660414922394,0.6388600468635559,0.22531655430793762,0.6520988537564553,0.6595979831417961,0.23359870216600928,0.6353341475250235
12,2022-23,9071,20230109,20230115,20230108,0.6364914178848267,0.22403250634670258,0.6610557010438617,0.6373555660247803,0.22443321347236633,0.6577240648485365,0.6577065956625837,0.23255859497740541,0.6410475158040903
13,2022-23,8773,20230116,20230122,20230115,0.6437316536903381,0.2273378074169159,0.6517510535459973,0.6443331241607666,0.2276086062192917,0.6504066409170781,0.665114457866228,0.23600003466159458,0.6249428803497477
14,2022-23,8803,20230123,20230129,20230122,0.6404100656509399,0.22592192888259888,0.6565327900409019,0.6408306360244751,0.22612355649471283,0.656279239218341,0.6613676016763976,0.23446150165895197,0.6314322662994188
15,2022-23,9043,20230130,20230205,20230129,0.6336221098899841,0.22301480174064636,0.6655709897922456,0.6341127753257751,0.22323140501976013,0.6637838018558536,0.6576759688601981,0.2326424953907796,0.6402202903444446
16,2022-23,8584,20230206,20230212,20230205,0.6355138421058655,0.22380754351615906,0.6642614803140565,0.6369402408599854,0.2244597226381302,0.6600351311048082,0.6567299530549858,0.23224144305961425,0.6474777425810778
17,2022-23,5068,20230213,20230216,20230212,0.6467700004577637,0.22834345698356628,0.6489000442129848,0.6474451422691345,0.22869403660297394,0.6463831612268487,0.6661224920536377,0.23671450494406235,0.6284147985239066
18,2022-23,5953,20230223,20230226,20230216,0.6366369128227234,0.22433976829051971,0.6530275274133448,0.6362298727035522,0.22413139045238495,0.6538618169931525,0.65869831565944,0.2330897809814535,0.625505618870233
19,2022-23,9214,20230227,20230305,20230226,0.6384920477867126,0.22500377893447876,0.658968370773565,0.6395077109336853,0.22546060383319855,0.6565844333679974,0.6616465259512228,0.23460088428016931,0.634175983365036
20,2022-23,8689,20230306,20230312,20230305,0.6400803923606873,0.22544245421886444,0.6594632290763701,0.6414453387260437,0.22610363364219666,0.6555394330407216,0.6598224659728011,0.2336960688960394,0.633732128913352
21,2022-23,9027,20230313,20230319,20230312,0.6450827717781067,0.22738660871982574,0.6548138422340211,0.6460686326026917,0.22787193953990936,0.6515539756280497,0.663397439897515,0.23543994136722043,0.6303312842265588
22,2022-23,8951,20230320,20230326,20230319,0.6373770833015442,0.2248660922050476,0.6613483775037172,0.6388890147209167,0.22554504871368408,0.6565512613862128,0.6620220695029282,0.2347570661095643,0.6367699516437381
23,2022-23,9634,20230327,20230402,20230326,0.6391505002975464,0.22546082735061646,0.6570305067267053,0.6402360200881958,0.22597402334213257,0.6540851370718772,0.6620721454835035,0.23475984088791707,0.6383082353740048
24,2022-23,9954,20230404,20230409,20230402,0.6373875737190247,0.2243269681930542,0.6605506498870537,0.6387315988540649,0.22494624555110931,0.6562645800600797,0.6583033082395254,0.23279526306392545,0.640139627890668
25,2023-24,7198,20231024,20231029,20230409,0.6371279954910278,0.22436632215976715,0.6539730573683107,0.6378793716430664,0.2247065305709839,0.6532799571604546,0.6572760320331187,0.23252003446254538,0.6287075219833178
26,2023-24,9091,20231030,20231105,20231029,0.6394186615943909,0.2254704087972641,0.6571871867526614,0.6401761174201965,0.22583557665348053,0.6543922751567536,0.6575701320842249,0.2325937148910391,0.6367862573506604
27,2023-24,9301,20231106,20231112,20231105,0.6416212320327759,0.2261408418416977,0.6563253305432625,0.6428616642951965,0.22671553492546082,0.6513347640246141,0.6602770089561701,0.23392191835555026,0.634663631090385
28,2023-24,8767,20231113,20231119,20231112,0.6423512101173401,0.22662179172039032,0.650024960798612,0.6437100768089294,0.22725430130958557,0.6464404576473243,0.663795367974017,0.2355796924244391,0.6239506529288049
29,2023-24,9069,20231120,20231126,20231119,0.6383388042449951,0.22478486597537994,0.6582487269618098,0.6395509243011475,0.22537891566753387,0.6548410361091019,0.658701286023597,0.23313812436618486,0.6313439887022896
30,2023-24,8413,20231127,20231202,20231126,0.6438176035881042,0.22746890783309937,0.6439945862046544,0.6449770927429199,0.22799672186374664,0.6402909246656422,0.6642308543655541,0.23590074123946128,0.6250913872488082
31,2023-24,5444,20231204,20231208,20231202,0.63653963804245,0.22408777475357056,0.6574227275784412,0.6374098062515259,0.22446133196353912,0.6543779886010093,0.6568258062715209,0.23218863635903028,0.6334739856113235
32,2023-24,10221,20231211,20231217,20231208,0.6418669819831848,0.226912721991539,0.6499355419822623,0.6429196000099182,0.2274058312177658,0.6461012293804322,0.6635964479795368,0.2354780172137351,0.6274957734176055
33,2023-24,9363,20231218,20231223,20231217,0.637732207775116,0.22530584037303925,0.6518135303142145,0.6389572024345398,0.22586244344711304,0.647379445337376,0.6647124851331478,0.2360501360958579,0.6283432876891853
34,2023-24,8949,20231225,20231231,20231223,0.637151837348938,0.22433146834373474,0.6663244355750908,0.6392680406570435,0.2253362089395523,0.6585642152931648,0.6593410377708386,0.2334591969522507,0.6386695285840712
35,2023-24,9772,20240101,20240107,20231231,0.6387553811073303,0.22534134984016418,0.6571112685691947,0.640152096748352,0.2259991616010666,0.6523846293482612,0.6608508000651523,0.23423334010558616,0.6313105329214457
36,2023-24,8712,20240108,20240114,20240107,0.6422949433326721,0.2268713414669037,0.6519309042590391,0.6440404057502747,0.22770094871520996,0.64596803840353,0.6634152202274916,0.23542156817249732,0.6281477923644219
37,2023-24,8636,20240115,20240121,20240114,0.6390736699104309,0.22527383267879486,0.6526863449248956,0.641001284122467,0.22619009017944336,0.6455343247682022,0.6597175465594546,0.23358334791625454,0.63184861302209
38,2023-24,9106,20240122,20240128,20240121,0.6382279992103577,0.2250899374485016,0.6597887321734022,0.6399818658828735,0.2258961945772171,0.6534819294468954,0.6617363848539747,0.234649253327571,0.6349072945712916
39,2023-24,9969,20240129,20240204,20240128,0.634634256362915,0.22345276176929474,0.6617626821507796,0.6360282897949219,0.22408413887023926,0.6570015447888811,0.6592703794133619,0.23334784764754116,0.6374621058337587
40,2023-24,8571,20240205,20240211,20240204,0.6427938342094421,0.2274172008037567,0.6455287976006322,0.6439187526702881,0.22794687747955322,0.6422932382443051,0.6669365615859434,0.23709507597998888,0.6209006858823566
41,2023-24,5705,20240212,20240215,20240211,0.6326815485954285,0.2221088707447052,0.6688357332565673,0.6347886919975281,0.2231011837720871,0.6630958442846467,0.6547265185482515,0.2312770109680575,0.6446690476941611
